Year,Value,Units,Bacteria,Topic,ViewBy,ViewBy2
1997,0,"Per 100,000 population",group B Streptococcus,Death Rates,Age,2-4 years old
1997,0.03,"Per 100,000 population",group B Streptococcus,Death Rates,Age,5-17 years old
1997,0.02,"Per 100,000 population",group B Streptococcus,Death Rates,Age,18-34 years old
1997,0.2,"Per 100,000 population",group B Streptococcus,Death Rates,Age,35-49 years old
1997,0.9,"Per 100,000 population",group B Streptococcus,Death Rates,Age,50-64 years old
1997,3.2,"Per 100,000 population",group B Streptococcus,Death Rates,Age,≥65 years old
1997,0,Counts,group B Streptococcus,Serotypes,Overall,Number of isolates
1997,0,Percent,group B Streptococcus,Serotypes,Overall,Ia
1997,0,Percent,group B Streptococcus,Serotypes,Overall,Ib
1997,0,Percent,group B Streptococcus,Serotypes,Overall,II
1997,0,Percent,group B Streptococcus,Serotypes,Overall,III
1997,0,Percent,group B Streptococcus,Serotypes,Overall,IV
1997,0,Percent,group B Streptococcus,Serotypes,Overall,V
1997,0,Percent,group B Streptococcus,Serotypes,Overall,"VI, VII, VIII or IX"
1997,0,Percent,group B Streptococcus,Serotypes,Overall,Non-typeable
1997,0,Counts,group B Streptococcus,Serotypes,"Infants, early-onset disease",Number of isolates
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Ia
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Ib
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",II
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",III
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",IV
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",V
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",VI
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Non-typeable
1997,0,Counts,group B Streptococcus,Serotypes,"Infants, late-onset disease",Number of isolates
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Ia
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Ib
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",II
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",III
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",IV
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",V
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",VI
1997,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Non-typeable
1997,0,Counts,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Number of isolates
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Ia
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Ib
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",II
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",III
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",IV
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",V
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old","VI, VII, VIII or IX"
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Non-typeable
1997,0,Counts,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Number of isolates
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ia
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ib
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",II
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",III
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",IV
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",V
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old","VI, VII, VIII or IX"
1997,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Non-typeable
1997,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Cefotaxime
1997,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Clindamycin**
1997,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Erythromycin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Penicillin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Vancomycin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Cefotaxime
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Clindamycin**
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Erythromycin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Penicillin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Vancomycin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Cefotaxime
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Clindamycin**
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Erythromycin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Penicillin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Vancomycin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Cefotaxime
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Clindamycin***
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Erythromycin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Penicillin
1997,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Vancomycin
1998,0,Counts,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Number of isolates
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ia
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ib
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",II
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",III
1998,15700,Counts,group B Streptococcus,Number of cases and deaths,Overall,Number of survivals
1998,1700,Counts,group B Streptococcus,Number of cases and deaths,Overall,Number of deaths
1998,17400,Counts,group B Streptococcus,Number of cases and deaths,Overall,Total cases
1998,2000,Counts,group B Streptococcus,Number of cases and deaths,Infants,Early-onset cases
1998,1200,Counts,group B Streptococcus,Number of cases and deaths,Infants,Late-onset cases
1998,6.5,"Per 100,000 population",group B Streptococcus,Case rates,Overall,
1998,6.5,"Per 100,000 population",group B Streptococcus,Case rates,Age,Overall
1998,110.4,"Per 100,000 population",group B Streptococcus,Case rates,Age,<1 year old
1998,1,"Per 100,000 population",group B Streptococcus,Case rates,Age,1 year old
1998,0,"Per 100,000 population",group B Streptococcus,Case rates,Age,2-4 years old
1998,0.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,5-17 years old
1998,2.1,"Per 100,000 population",group B Streptococcus,Case rates,Age,18-34 years old
1998,3.4,"Per 100,000 population",group B Streptococcus,Case rates,Age,35-49 years old
1998,8.7,"Per 100,000 population",group B Streptococcus,Case rates,Age,50-64 years old
1998,21.9,"Per 100,000 population",group B Streptococcus,Case rates,Age,≥65 years old
1998,6.5,"Per 100,000 population",group B Streptococcus,Case rates,Race,Overall
1998,5.7,"Per 100,000 population",group B Streptococcus,Case rates,Race,White
1998,11.2,"Per 100,000 population",group B Streptococcus,Case rates,Race,Black
1998,2.8,"Per 100,000 population",group B Streptococcus,Case rates,Race,Other races
1998,0.6,"Per 1,000 live birth",group B Streptococcus,Case rates,"Infants, early and late-onset",Early-onset
1998,0.4,"Per 1,000 live birth",group B Streptococcus,Case rates,"Infants, early and late-onset",Late-onset
1998,0.6,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Overall
1998,0.5,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",White
1998,0.9,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Black
1998,0.3,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Other races
1998,0.4,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Overall
1998,0.2,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",White
1998,0.8,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Black
1998,0.1,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Other races
1998,0.6,"Per 100,000 population",group B Streptococcus,Death Rates,Overall,
1998,0.6,"Per 100,000 population",group B Streptococcus,Death Rates,Age,Overall
1998,3.9,"Per 100,000 population",group B Streptococcus,Death Rates,Age,<1 year old
1998,0,"Per 100,000 population",group B Streptococcus,Death Rates,Age,1 year old
1998,0,"Per 100,000 population",group B Streptococcus,Death Rates,Age,2-4 years old
1998,0,"Per 100,000 population",group B Streptococcus,Death Rates,Age,5-17 years old
1998,0.02,"Per 100,000 population",group B Streptococcus,Death Rates,Age,18-34 years old
1998,0.2,"Per 100,000 population",group B Streptococcus,Death Rates,Age,35-49 years old
1998,0.9,"Per 100,000 population",group B Streptococcus,Death Rates,Age,50-64 years old
1998,3.3,"Per 100,000 population",group B Streptococcus,Death Rates,Age,≥65 years old
1998,0,Counts,group B Streptococcus,Serotypes,Overall,Number of isolates
1998,0,Percent,group B Streptococcus,Serotypes,Overall,Ia
1998,0,Percent,group B Streptococcus,Serotypes,Overall,Ib
1998,0,Percent,group B Streptococcus,Serotypes,Overall,II
1998,0,Percent,group B Streptococcus,Serotypes,Overall,III
1998,0,Percent,group B Streptococcus,Serotypes,Overall,IV
1998,0,Percent,group B Streptococcus,Serotypes,Overall,V
1998,0,Percent,group B Streptococcus,Serotypes,Overall,"VI, VII, VIII or IX"
1998,0,Percent,group B Streptococcus,Serotypes,Overall,Non-typeable
1998,0,Counts,group B Streptococcus,Serotypes,"Infants, early-onset disease",Number of isolates
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Ia
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Ib
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",II
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",III
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",IV
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",V
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",VI
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Non-typeable
1998,0,Counts,group B Streptococcus,Serotypes,"Infants, late-onset disease",Number of isolates
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Ia
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Ib
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",II
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",III
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",IV
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",V
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",VI
1998,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Non-typeable
1998,0,Counts,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Number of isolates
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Ia
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Ib
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",II
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",III
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",IV
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",V
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old","VI, VII, VIII or IX"
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Non-typeable
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",IV
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",V
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old","VI, VII, VIII or IX"
1998,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Non-typeable
1999,137,Counts,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Number of isolates
1999,21.9,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ia
1999,4.4,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ib
1999,17.5,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",II
1999,13.1,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",III
1998,80.9,Percent,group B Streptococcus,Syndromes,"Infants, early-onset disease",Bacteremia without focus
1998,9.6,Percent,group B Streptococcus,Syndromes,"Infants, early-onset disease",Bacteremia with pnuemonia
1998,7.9,Percent,group B Streptococcus,Syndromes,"Infants, early-onset disease",Meningitis
1998,73.5,Percent,group B Streptococcus,Syndromes,"Infants, late-onset disease",Bacteremia without focus
1998,0,Percent,group B Streptococcus,Syndromes,"Infants, late-onset disease",Bacteremia with pnuemonia
1998,21.2,Percent,group B Streptococcus,Syndromes,"Infants, late-onset disease",Meningitis
1998,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Cefotaxime
1998,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Clindamycin**
1998,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Erythromycin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Penicillin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Vancomycin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Cefotaxime
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Clindamycin**
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Erythromycin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Penicillin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Vancomycin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Cefotaxime
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Clindamycin**
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Erythromycin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Penicillin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Vancomycin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Cefotaxime
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Clindamycin***
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Erythromycin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Penicillin
1998,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Vancomycin
1999,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",IV
1999,29.9,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",V
1999,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old","VI, VII, VIII or IX"
1999,13.1,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Non-typeable
2000,139,Counts,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Number of isolates
1999,15000,Counts,group B Streptococcus,Number of cases and deaths,Overall,Number of survivals
1999,1800,Counts,group B Streptococcus,Number of cases and deaths,Overall,Number of deaths
1999,16800,Counts,group B Streptococcus,Number of cases and deaths,Overall,Total cases
1999,1600,Counts,group B Streptococcus,Number of cases and deaths,Infants,Early-onset cases
1999,1100,Counts,group B Streptococcus,Number of cases and deaths,Infants,Late-onset cases
1999,6.2,"Per 100,000 population",group B Streptococcus,Case rates,Overall,
1999,6.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,Overall
1999,81.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,<1 year old
1999,0.3,"Per 100,000 population",group B Streptococcus,Case rates,Age,1 year old
1999,0.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,2-4 years old
1999,0.3,"Per 100,000 population",group B Streptococcus,Case rates,Age,5-17 years old
1999,1.6,"Per 100,000 population",group B Streptococcus,Case rates,Age,18-34 years old
1999,3.4,"Per 100,000 population",group B Streptococcus,Case rates,Age,35-49 years old
1999,8.3,"Per 100,000 population",group B Streptococcus,Case rates,Age,50-64 years old
1999,22.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,≥65 years old
1999,6.2,"Per 100,000 population",group B Streptococcus,Case rates,Race,Overall
1999,5.3,"Per 100,000 population",group B Streptococcus,Case rates,Race,White
1999,11.7,"Per 100,000 population",group B Streptococcus,Case rates,Race,Black
1999,2.3,"Per 100,000 population",group B Streptococcus,Case rates,Race,Other races
1999,0.4,"Per 1,000 live birth",group B Streptococcus,Case rates,"Infants, early and late-onset",Early-onset
1999,0.3,"Per 1,000 live birth",group B Streptococcus,Case rates,"Infants, early and late-onset",Late-onset
1999,0.4,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Overall
1999,0.3,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",White
1999,1,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Black
1999,0,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Other races
1999,0.3,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Overall
1999,0.2,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",White
1999,0.7,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Black
1999,0.2,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Other races
1999,0.66,"Per 100,000 population",group B Streptococcus,Death Rates,Overall,
1999,0.66,"Per 100,000 population",group B Streptococcus,Death Rates,Age,Overall
1999,4.53,"Per 100,000 population",group B Streptococcus,Death Rates,Age,<1 year old
1999,0,"Per 100,000 population",group B Streptococcus,Death Rates,Age,1 year old
1999,0,"Per 100,000 population",group B Streptococcus,Death Rates,Age,2-4 years old
1999,0.02,"Per 100,000 population",group B Streptococcus,Death Rates,Age,5-17 years old
1999,0.07,"Per 100,000 population",group B Streptococcus,Death Rates,Age,18-34 years old
1999,0.42,"Per 100,000 population",group B Streptococcus,Death Rates,Age,35-49 years old
1999,0.68,"Per 100,000 population",group B Streptococcus,Death Rates,Age,50-64 years old
1999,3.26,"Per 100,000 population",group B Streptococcus,Death Rates,Age,≥65 years old
1999,412,Counts,group B Streptococcus,Serotypes,Overall,Number of isolates
1999,25,Percent,group B Streptococcus,Serotypes,Overall,Ia
1999,7.3,Percent,group B Streptococcus,Serotypes,Overall,Ib
1999,14.8,Percent,group B Streptococcus,Serotypes,Overall,II
1999,21.8,Percent,group B Streptococcus,Serotypes,Overall,III
1999,0.5,Percent,group B Streptococcus,Serotypes,Overall,IV
1999,24.5,Percent,group B Streptococcus,Serotypes,Overall,V
1999,0,Percent,group B Streptococcus,Serotypes,Overall,"VI, VII, VIII or IX"
1999,6.1,Percent,group B Streptococcus,Serotypes,Overall,Non-typeable
1999,75,Counts,group B Streptococcus,Serotypes,"Infants, early-onset disease",Number of isolates
1999,25.3,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Ia
1999,9.3,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Ib
1999,13.3,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",II
1999,26.7,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",III
1999,1.3,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",IV
1999,24,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",V
1999,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",VI
1999,0,Percent,group B Streptococcus,Serotypes,"Infants, early-onset disease",Non-typeable
1999,45,Counts,group B Streptococcus,Serotypes,"Infants, late-onset disease",Number of isolates
1999,33.3,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Ia
1999,4.4,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Ib
1999,2.2,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",II
1999,44.4,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",III
1999,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",IV
1999,15.6,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",V
1999,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",VI
1999,0,Percent,group B Streptococcus,Serotypes,"Infants, late-onset disease",Non-typeable
1999,149,Counts,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Number of isolates
1999,24.8,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Ia
1999,10.1,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Ib
1999,16.8,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",II
1999,19.5,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",III
1999,0.7,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",IV
1999,23.5,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",V
1999,0,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old","VI, VII, VIII or IX"
1999,4.7,Percent,group B Streptococcus,Serotypes,"Adults, 18-64 years old",Non-typeable
2000,19.4,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ia
2000,5.8,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Ib
2000,13.7,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",II
2000,12.9,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",III
2000,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",IV
2000,35.3,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",V
2000,0,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old","VI, VII, VIII or IX"
2000,12.9,Percent,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Non-typeable
2001,265,Counts,group B Streptococcus,Serotypes,"Adults, ≥ 65 years old",Number of isolates
1999,82.3,Percent,group B Streptococcus,Syndromes,"Infants, early-onset disease",Bacteremia without focus
1999,12,Percent,group B Streptococcus,Syndromes,"Infants, early-onset disease",Bacteremia with pnuemonia
1999,5.1,Percent,group B Streptococcus,Syndromes,"Infants, early-onset disease",Meningitis
1999,65.5,Percent,group B Streptococcus,Syndromes,"Infants, late-onset disease",Bacteremia without focus
1999,5,Percent,group B Streptococcus,Syndromes,"Infants, late-onset disease",Bacteremia with pnuemonia
1999,24.4,Percent,group B Streptococcus,Syndromes,"Infants, late-onset disease",Meningitis
1999,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Cefotaxime
1999,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Clindamycin**
1999,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Erythromycin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Penicillin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,Overall,Vancomycin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Cefotaxime
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Clindamycin**
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Erythromycin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Penicillin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, early-onset disease",Vancomycin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Cefotaxime
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Clindamycin**
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Erythromycin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Penicillin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Infants, late-onset disease",Vancomycin
1999,0,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Cefotaxime
1999,2.4,Percent,group B Streptococcus,Antibiotic resistance,"Adults, 18-64 years old",Clindamycin***
